exp,run,event_num,label
amo06516,102,0,9
amo06516,102,1,9
amo06516,102,2,9
amo06516,102,3,9
amo06516,102,4,9
amo06516,102,5,9
amo06516,102,6,9
amo06516,102,7,9
amo06516,102,8,9
amo06516,102,9,9
amo06516,102,200,9
amo06516,102,1057,3
amo06516,102,1149,3
amo06516,102,1152,3
amo06516,102,1178,3
amo06516,102,1448,3
amo06516,102,1464,3
amo06516,102,1478,4
amo06516,102,1484,0
amo06516,102,1500,3
amo06516,102,1563,1
amo06516,102,1732,2
amo06516,102,1996,2
amo06516,102,2053,3
amo06516,102,2796,0
amo06516,102,2862,3
amo06516,102,2900,3
amo06516,102,3003,0
amo06516,102,3182,2
amo06516,102,3223,3
amo06516,102,3377,3
amo06516,102,3414,3
amo06516,102,3442,3
amo06516,102,3815,0
amo06516,102,3997,3
amo06516,102,4141,3
amo06516,102,4356,1
amo06516,102,4494,2
amo06516,102,4515,3
amo06516,102,4740,3
amo06516,102,4851,0
amo06516,102,5006,4
amo06516,102,5107,3
amo06516,102,5155,3
amo06516,102,5608,3
amo06516,102,5640,0
amo06516,102,5773,3
amo06516,102,5797,3
amo06516,102,5925,3
amo06516,102,6025,1
amo06516,102,6309,2
amo06516,102,6498,3
amo06516,102,6556,3
amo06516,102,6562,0
amo06516,102,6574,2
amo06516,102,6595,3
amo06516,102,7427,2
amo06516,102,7496,1
amo06516,102,7497,3
amo06516,102,7527,3
amo06516,102,7571,3
amo06516,102,7678,3
amo06516,102,7765,0
amo06516,102,7827,3
amo06516,102,8216,0
amo06516,102,8699,3
amo06516,102,9722,3
amo06516,102,9758,2
amo06516,102,9960,1
amo06516,102,10010,3
amo06516,102,10176,3
amo06516,102,10249,1
amo06516,102,10284,3
amo06516,102,10686,0
amo06516,102,12168,3
amo06516,102,13671,0
amo06516,102,15554,3
amo06516,102,18141,3
amo06516,102,20590,3
amo06516,102,21567,4
