exp,run,event_num,label
amo06516,94,59,3
amo06516,94,203,3
amo06516,94,230,3
amo06516,94,241,3
amo06516,94,276,3
amo06516,94,327,3
amo06516,94,378,3
amo06516,94,400,3
amo06516,94,406,1
amo06516,94,425,3
amo06516,94,433,3
amo06516,94,434,4
amo06516,94,451,1
amo06516,94,509,3
amo06516,94,647,2
amo06516,94,813,3
amo06516,94,851,3
amo06516,94,857,3
amo06516,94,985,3
amo06516,94,1002,3
amo06516,94,1013,3
amo06516,94,1126,3
amo06516,94,1195,3
amo06516,94,1234,3
amo06516,94,1335,4
amo06516,94,1347,3
amo06516,94,1355,1
amo06516,94,1411,3
amo06516,94,1498,1
amo06516,94,1526,3
amo06516,94,1567,3
amo06516,94,1587,3
amo06516,94,1599,3
amo06516,94,1669,3
amo06516,94,1670,0
amo06516,94,1741,4
amo06516,94,1761,3
amo06516,94,1821,3
amo06516,94,1862,3
amo06516,94,2005,3
amo06516,94,2035,3
amo06516,94,2073,3
amo06516,94,2078,3
amo06516,94,2116,3
amo06516,94,2140,2
amo06516,94,2224,3
amo06516,94,2313,3
amo06516,94,2339,1
amo06516,94,2439,3
amo06516,94,2443,3
amo06516,94,2575,3
amo06516,94,2586,2
amo06516,94,2590,3
amo06516,94,2686,3
amo06516,94,2743,3
amo06516,94,2771,2
amo06516,94,2911,2
amo06516,94,2937,3
amo06516,94,2940,3
amo06516,94,2978,3
amo06516,94,3048,3
amo06516,94,3125,3
amo06516,94,3130,3
amo06516,94,3325,3
amo06516,94,3361,3
amo06516,94,3365,3
amo06516,94,3368,3
amo06516,94,3375,3
amo06516,94,3436,3
amo06516,94,3616,3
amo06516,94,3648,3
amo06516,94,3694,3
amo06516,94,3737,4
amo06516,94,3777,3
amo06516,94,3788,2
amo06516,94,3816,3
amo06516,94,3870,4
amo06516,94,3915,3
amo06516,94,4000,3
amo06516,94,4045,1
amo06516,94,4101,3
amo06516,94,4104,3
amo06516,94,4126,2
amo06516,94,4301,3
amo06516,94,4302,3
amo06516,94,4347,3
amo06516,94,4453,3
amo06516,94,4463,3
amo06516,94,4505,3
amo06516,94,4535,3
amo06516,94,4588,3
amo06516,94,4616,3
amo06516,94,4655,4
amo06516,94,4982,3
amo06516,94,5122,3
amo06516,94,5164,3
amo06516,94,5177,3
