exp,run,event_num,label
amo06516,90,0,9
amo06516,90,1,9
amo06516,90,2,9
amo06516,90,3,9
amo06516,90,4,9
amo06516,90,6,9
amo06516,90,7,9
amo06516,90,8,9
amo06516,90,9,9
amo06516,90,24,9
amo06516,90,25,9
amo06516,90,26,9
amo06516,90,27,9
amo06516,90,28,9
amo06516,90,29,9
amo06516,90,30,9
amo06516,90,32,9
amo06516,90,33,9
amo06516,90,34,9
amo06516,90,35,9
amo06516,90,36,9
amo06516,90,37,9
amo06516,90,38,9
amo06516,90,39,9
amo06516,90,40,9
amo06516,90,41,9
amo06516,90,42,9
amo06516,90,43,9
amo06516,90,44,9
amo06516,90,45,9
amo06516,90,46,9
amo06516,90,47,9
amo06516,90,48,9
amo06516,90,49,9
amo06516,90,50,9
amo06516,90,51,9
amo06516,90,52,9
amo06516,90,53,9
amo06516,90,54,9
amo06516,90,55,9
amo06516,90,56,9
amo06516,90,57,9
amo06516,90,59,9
amo06516,90,60,9
amo06516,90,61,9
amo06516,90,62,9
amo06516,90,591,2
amo06516,90,709,0
amo06516,90,795,4
amo06516,90,796,1
amo06516,90,1313,0
amo06516,90,1371,3
amo06516,90,1501,0
amo06516,90,1694,4
amo06516,90,1789,0
amo06516,90,1997,1
amo06516,90,2281,2
amo06516,90,2453,0
amo06516,90,2496,3
amo06516,90,2631,2
amo06516,90,3120,1
amo06516,90,3197,4
amo06516,90,3288,0
amo06516,90,3556,3
amo06516,90,4095,1
amo06516,90,4230,0
amo06516,90,4828,3
amo06516,90,5621,1
amo06516,90,5651,3
amo06516,90,5661,1
amo06516,90,6018,3
amo06516,90,6046,0
amo06516,90,6070,1
amo06516,90,6293,0
amo06516,90,6754,0
amo06516,90,6824,3
amo06516,90,7374,2
amo06516,90,7585,4
amo06516,90,7727,3
amo06516,90,7816,4
amo06516,90,8459,1
amo06516,90,8512,0
amo06516,90,8519,1
amo06516,90,8801,3
amo06516,90,9129,1
amo06516,90,9670,1
amo06516,90,9697,3
amo06516,90,9835,3
amo06516,90,9893,3
amo06516,90,10650,1
amo06516,90,11065,3
amo06516,90,11130,3
amo06516,90,11263,3
amo06516,90,11605,3
amo06516,90,11805,1
amo06516,90,12173,3
amo06516,90,12425,1
amo06516,90,12859,3
amo06516,90,13025,3
amo06516,90,13464,3
amo06516,90,14168,0
amo06516,90,14481,0
amo06516,90,14501,3
amo06516,90,14677,0
amo06516,90,15093,1
amo06516,90,15249,0
amo06516,90,15314,2
amo06516,90,15410,1
amo06516,90,15411,1
amo06516,90,15443,3
amo06516,90,15573,3
amo06516,90,15631,1
amo06516,90,15737,3
amo06516,90,15919,2
amo06516,90,16090,3
amo06516,90,16156,4
amo06516,90,16747,4
amo06516,90,16765,3
amo06516,90,16775,1
amo06516,90,16826,1
amo06516,90,16916,1
amo06516,90,17187,2
amo06516,90,17691,1
amo06516,90,17828,3
amo06516,90,17859,1
amo06516,90,17898,3
amo06516,90,17961,3
amo06516,90,18298,0
amo06516,90,18344,3
amo06516,90,18419,1
amo06516,90,18730,1
amo06516,90,19099,3
amo06516,90,19124,3
amo06516,90,19184,1
amo06516,90,19403,0
amo06516,90,19740,1
amo06516,90,20019,2
amo06516,90,20051,3
amo06516,90,20356,3
amo06516,90,20495,1
amo06516,90,20523,3
amo06516,90,20964,2
amo06516,90,21418,1
amo06516,90,21424,1
amo06516,90,21569,1
amo06516,90,22077,3
amo06516,90,22413,1
amo06516,90,22609,1
amo06516,90,22634,2
amo06516,90,22752,1
amo06516,90,22786,3
amo06516,90,23291,3
